,V1,V2,V3,V4,V5
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,genes,biotechnology,module,midterm,genomics
https://www.class-central.com/mooc/430/coursera-the-modern-world-part-one-global-history-from-1760-to-1910,revolutions,industrial,bewildering,rise,atlantic
https://www.class-central.com/mooc/3473/coursera-genomic-data-science-with-galaxy,galaxy,rnaseq,sequence,chipsequence,macs
https://www.class-central.com/mooc/4205/coursera-what-is-social,social,marketing,northwestern,specialization,disrupted
https://www.class-central.com/mooc/3234/coursera-build-a-modern-computer-from-first-principles-from-nand-to-tetris-project-centered-course,alu,hack,computer,logic,assembler
https://www.class-central.com/mooc/353/coursera-greek-and-roman-mythology,myth,odysseus,gods,homer,oedipus
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,innovation,commercialization,customer,innovations,validation
https://www.class-central.com/mooc/4792/coursera-fundamentals-of-graphic-design,graphic,typography,color,optional,imagemaking
https://www.class-central.com/mooc/2883/coursera-welcome-to-game-theory,game,nash,theory,equilibrium,rationality
https://www.class-central.com/mooc/529/coursera-creative-programming-for-digital-media-mobile-apps,music,boxd,mobile,graphics,creative
https://www.class-central.com/mooc/667/coursera-sren-kierkegaard-subjectivity-irony-and-the-crisis-of-modernity,kierkegaards,kierkegaard,irony,socrates,hegel
https://www.class-central.com/mooc/1050/coursera-the-power-of-macroeconomics-economic-principles-in-the-real-world,macroeconomics,deficits,portuguese,trade,classicalkeynesian
https://www.class-central.com/mooc/454/coursera-web-intelligence-and-big-data,mapreduce,delhi,fall,sentiment,mining
https://www.class-central.com/mooc/306/coursera-human-computer-interaction,design,prototyping,excellent,interfaces,web
https://www.class-central.com/mooc/1765/coursera-introduction-to-human-behavioral-genetics,genetic,behavioral,schizophrenia,twin,genetics
https://www.class-central.com/mooc/460/coursera-introduction-to-computational-finance-and-financial-econometrics,asset,returns,autocorrelations,markowitz,portfolios
https://www.class-central.com/mooc/1387/coursera-introduction-to-neuroeconomics-how-the-brain-makes-decisions,neuroeconomics,decisionmaking,brain,decisions,lecture
https://www.class-central.com/mooc/3472/coursera-introduction-to-genomic-technologies,sequencing,dogma,nextgeneration,biology,dna
https://www.class-central.com/mooc/404/coursera-control-of-mobile-robots,robots,control,moving,mobile,unusual
https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world,muslim,modernity,turkey,region,constitutional
https://www.class-central.com/mooc/733/coursera-epidemiology-the-basic-science-of-public-health,epidemiology,health,measures,introduces,causality
https://www.class-central.com/mooc/4212/coursera-object-oriented-programming-in-java,project,sorting,videos,youre,programming
https://www.class-central.com/mooc/4238/coursera-machine-learning-with-big-data,machine,classification,clustering,data,mining
https://www.class-central.com/mooc/1729/coursera-hardware-security,hardware,attacks,trojan,trusted,design
https://www.class-central.com/mooc/1620/coursera-applying-to-u-s-universities,admission,application,universities,schools,pieces
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,investors,funding,venture,entrepreneurs,capital
https://www.class-central.com/mooc/4200/coursera-responsive-web-design,responsive,web,templates,bootstrap,design
https://www.class-central.com/mooc/4216/coursera-introduction-to-big-data-analytics,pig,june,data,hbase,hive
https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles,beatles,singles,music,abbey,period
https://www.class-central.com/mooc/2987/coursera-introduction-to-classical-music,music,musical,bach,composers,beethoven
https://www.class-central.com/mooc/3330/coursera-the-language-and-tools-of-financial-analysis,financial,accounting,statements,dcf,decisionmaking
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,managers,staffing,management,planning,operational
https://www.class-central.com/mooc/417/coursera-information-security-and-risk-management-in-context,security,ecrime,oversight,ediscovery,confidentiality
https://www.class-central.com/mooc/4196/coursera-introduction-to-software-product-management,software,product,agile,management,manager
https://www.class-central.com/mooc/4187/coursera-software-processes-and-agile-practices,software,agile,methodologies,development,practices
https://www.class-central.com/mooc/4076/coursera-financing-for-development,finance,private,financing,development,sdgs
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,stakeholder,philanthropy,corporate,entrepreneur,story
https://www.class-central.com/mooc/2460/coursera-successful-negotiation-essential-strategies-and-skills,negotiation,negotiate,negotiations,contract,portuguese
https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,brain,spatial,space,brains,groh
https://www.class-central.com/mooc/1533/coursera-the-age-of-sustainable-development,sachs,professor,sustainable,inequality,pathways
