,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/3627/coursera-dog-emotion-and-cognition,dogs,dog,hare,cognition,dognition,cognitive,describes,evolutionary
https://www.class-central.com/mooc/1456/coursera-introduction-to-physical-chemistry,thermodynamics,reactions,lab,kinetics,quantum,law,particle,chemistry
https://www.class-central.com/mooc/2726/coursera-finance-for-non-financial-professionals,finance,financial,accounting,nonfinancial,costing,specialist,budgeting,decisions
https://www.class-central.com/mooc/3884/coursera-writing-for-young-readers-opening-the-treasure-chest,writing,publishing,readers,plot,editing,genre,young,writers
https://www.class-central.com/mooc/487/coursera-discrete-optimization,optimization,organizes,routing,vehicle,clears,crews,dayahead,exposes
https://www.class-central.com/mooc/1051/coursera-economics-of-money-and-banking-part-one,money,monetary,settlement,banking,crisis,markets,central,system
https://www.class-central.com/mooc/434/coursera-introduction-to-sustainability,sustainability,water,climate,energy,environmental,demographics,ethics,peak
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,genes,biotechnology,module,midterm,genomics,genetics,genetic,thy
https://www.class-central.com/mooc/430/coursera-the-modern-world-part-one-global-history-from-1760-to-1910,revolutions,industrial,bewildering,rise,atlantic,national,empires,acceleration
https://www.class-central.com/mooc/3473/coursera-genomic-data-science-with-galaxy,galaxy,rnaseq,sequence,chipsequence,macs,running,data,framework
https://www.class-central.com/mooc/4205/coursera-what-is-social,social,marketing,northwestern,specialization,disrupted,mooc,sixcourse,grow
https://www.class-central.com/mooc/3234/coursera-build-a-modern-computer-from-first-principles-from-nand-to-tetris-project-centered-course,alu,hack,computer,logic,assembler,computers,chips,gates
https://www.class-central.com/mooc/353/coursera-greek-and-roman-mythology,myth,odysseus,gods,homer,oedipus,quiz,trans,hero
https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace,innovation,commercialization,customer,innovations,validation,prototyping,bring,product
https://www.class-central.com/mooc/4792/coursera-fundamentals-of-graphic-design,graphic,typography,color,optional,imagemaking,design,visual,assignment
https://www.class-central.com/mooc/2883/coursera-welcome-to-game-theory,game,nash,theory,equilibrium,rationality,players,capacities,rational
https://www.class-central.com/mooc/529/coursera-creative-programming-for-digital-media-mobile-apps,music,boxd,mobile,graphics,creative,processing,audio,boxwrapd
https://www.class-central.com/mooc/667/coursera-sren-kierkegaard-subjectivity-irony-and-the-crisis-of-modernity,kierkegaards,kierkegaard,irony,socrates,hegel,lecture,works,hegels
https://www.class-central.com/mooc/1050/coursera-the-power-of-macroeconomics-economic-principles-in-the-real-world,macroeconomics,deficits,portuguese,trade,classicalkeynesian,httpswwwcourseraorglearnmacroeconomiapt,protectionism,stagflation
https://www.class-central.com/mooc/454/coursera-web-intelligence-and-big-data,mapreduce,delhi,fall,sentiment,mining,databases,parallel,platforms
https://www.class-central.com/mooc/306/coursera-human-computer-interaction,design,prototyping,excellent,interfaces,web,fieldwork,interaction,anchoring
https://www.class-central.com/mooc/1765/coursera-introduction-to-human-behavioral-genetics,genetic,behavioral,schizophrenia,twin,genetics,supplemental,geneenvironment,twins
https://www.class-central.com/mooc/460/coursera-introduction-to-computational-finance-and-financial-econometrics,asset,returns,autocorrelations,markowitz,portfolios,covariance,bootstrapping,distributions
https://www.class-central.com/mooc/1387/coursera-introduction-to-neuroeconomics-how-the-brain-makes-decisions,neuroeconomics,decisionmaking,brain,decisions,lecture,neuroscience,neural,accumbens
https://www.class-central.com/mooc/3472/coursera-introduction-to-genomic-technologies,sequencing,dogma,nextgeneration,biology,dna,data,technology,computing
https://www.class-central.com/mooc/404/coursera-control-of-mobile-robots,robots,control,moving,mobile,unusual,robotics,robot,problem
https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world,muslim,modernity,turkey,region,constitutional,islamic,countries,syria
https://www.class-central.com/mooc/733/coursera-epidemiology-the-basic-science-of-public-health,epidemiology,health,measures,introduces,causality,public,frequency,association
https://www.class-central.com/mooc/4212/coursera-object-oriented-programming-in-java,project,sorting,videos,youre,programming,code,dive,feel
https://www.class-central.com/mooc/4238/coursera-machine-learning-with-big-data,machine,classification,clustering,data,mining,predictive,association,rule
https://www.class-central.com/mooc/1729/coursera-hardware-security,hardware,attacks,trojan,trusted,design,security,countermeasures,protection
https://www.class-central.com/mooc/1620/coursera-applying-to-u-s-universities,admission,application,universities,schools,pieces,admissions,colleges,applicants
https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,investors,funding,venture,entrepreneurs,capital,session,valuations,pitch
